Event;Player;Team;Rating
DreamHack Open Cluj-Napoca 2015;aizy;Dignitas;1.55
DreamHack Open Cluj-Napoca 2015;GuardiaN;Natus Vincere;1.30
DreamHack Open Cluj-Napoca 2015;Snax;Virtus.pro;1.29
DreamHack Open Cluj-Napoca 2015;kennyS;Envy;1.23
DreamHack Open Cluj-Napoca 2015;WorldEdit;FlipSid3;1.22
DreamHack Open Cluj-Napoca 2015;dupreeh;TSM;1.18
DreamHack Open Cluj-Napoca 2015;coldzera;Luminosity;1.18
DreamHack Open Cluj-Napoca 2015;jkaem;G2;1.16
DreamHack Open Cluj-Napoca 2015;NiKo;mousesports;1.16
DreamHack Open Cluj-Napoca 2015;flusha;fnatic;1.15
DreamHack Open Cluj-Napoca 2015;NBK-;Envy;1.14
DreamHack Open Cluj-Napoca 2015;Happy;Envy;1.14
DreamHack Open Cluj-Napoca 2015;KRIMZ;fnatic;1.14
DreamHack Open Cluj-Napoca 2015;shox;Titan;1.12
DreamHack Open Cluj-Napoca 2015;apEX;Envy;1.11
DreamHack Open Cluj-Napoca 2015;f0rest;NiP;1.10
DreamHack Open Cluj-Napoca 2015;seized;Natus Vincere;1.10
DreamHack Open Cluj-Napoca 2015;Furlan;Vexed;1.09
DreamHack Open Cluj-Napoca 2015;cajunb;TSM;1.08
DreamHack Open Cluj-Napoca 2015;RpK;Titan;1.07
DreamHack Open Cluj-Napoca 2015;fox;G2;1.07
DreamHack Open Cluj-Napoca 2015;kioShiMa;Envy;1.07
DreamHack Open Cluj-Napoca 2015;byali;Virtus.pro;1.06
DreamHack Open Cluj-Napoca 2015;dennis;G2;1.06
DreamHack Open Cluj-Napoca 2015;tarik;CLG;1.04
DreamHack Open Cluj-Napoca 2015;fer;Luminosity;1.03
DreamHack Open Cluj-Napoca 2015;nex;mousesports;1.02
DreamHack Open Cluj-Napoca 2015;Xyp9x;TSM;1.02
DreamHack Open Cluj-Napoca 2015;flamie;Natus Vincere;1.02
DreamHack Open Cluj-Napoca 2015;jdm64;CLG;1.02
DreamHack Open Cluj-Napoca 2015;pashaBiceps;Virtus.pro;1.01
DreamHack Open Cluj-Napoca 2015;Zeus;Natus Vincere;1.01
DreamHack Open Cluj-Napoca 2015;chrisJ;mousesports;1.00
DreamHack Open Cluj-Napoca 2015;boltz;Luminosity;0.99
DreamHack Open Cluj-Napoca 2015;GeT_RiGhT;NiP;0.99
DreamHack Open Cluj-Napoca 2015;device;TSM;0.98
DreamHack Open Cluj-Napoca 2015;olofmeister;fnatic;0.98
DreamHack Open Cluj-Napoca 2015;Xizt;NiP;0.98
DreamHack Open Cluj-Napoca 2015;seang@res;Cloud9;0.97
DreamHack Open Cluj-Napoca 2015;friberg;NiP;0.97
DreamHack Open Cluj-Napoca 2015;freakazoid;Cloud9;0.96
DreamHack Open Cluj-Napoca 2015;Maikelele;G2;0.96
DreamHack Open Cluj-Napoca 2015;allu;NiP;0.96
DreamHack Open Cluj-Napoca 2015;karrigan;TSM;0.95
DreamHack Open Cluj-Napoca 2015;Hyper;Vexed;0.95
DreamHack Open Cluj-Napoca 2015;rain;G2;0.93
DreamHack Open Cluj-Napoca 2015;GruBy;Vexed;0.93
DreamHack Open Cluj-Napoca 2015;Edward;Natus Vincere;0.92
DreamHack Open Cluj-Napoca 2015;FNS;CLG;0.92
DreamHack Open Cluj-Napoca 2015;EliGE;Liquid;0.92
DreamHack Open Cluj-Napoca 2015;shroud;Cloud9;0.91
DreamHack Open Cluj-Napoca 2015;steel;Luminosity;0.90
DreamHack Open Cluj-Napoca 2015;FugLy;Liquid;0.90
DreamHack Open Cluj-Napoca 2015;TaZ;Virtus.pro;0.90
DreamHack Open Cluj-Napoca 2015;nitr0;Liquid;0.87
DreamHack Open Cluj-Napoca 2015;NEO;Virtus.pro;0.87
DreamHack Open Cluj-Napoca 2015;adreN;Liquid;0.86
DreamHack Open Cluj-Napoca 2015;n0thing;Cloud9;0.85
DreamHack Open Cluj-Napoca 2015;Skadoodle;Cloud9;0.84
DreamHack Open Cluj-Napoca 2015;pronax;fnatic;0.84
DreamHack Open Cluj-Napoca 2015;bondik;FlipSid3;0.84
DreamHack Open Cluj-Napoca 2015;markeloff;FlipSid3;0.82
DreamHack Open Cluj-Napoca 2015;SmithZz;Titan;0.81
DreamHack Open Cluj-Napoca 2015;reltuC;CLG;0.80
DreamHack Open Cluj-Napoca 2015;Kjaerbye;Dignitas;0.79
DreamHack Open Cluj-Napoca 2015;ScreaM;Titan;0.79
DreamHack Open Cluj-Napoca 2015;denis;mousesports;0.79
DreamHack Open Cluj-Napoca 2015;JW;fnatic;0.77
DreamHack Open Cluj-Napoca 2015;rallen;Vexed;0.77
DreamHack Open Cluj-Napoca 2015;FalleN;Luminosity;0.77
DreamHack Open Cluj-Napoca 2015;peet;Vexed;0.77
DreamHack Open Cluj-Napoca 2015;Hiko;Liquid;0.76
DreamHack Open Cluj-Napoca 2015;Ex6TenZ;Titan;0.74
DreamHack Open Cluj-Napoca 2015;Pimp;Dignitas;0.70
DreamHack Open Cluj-Napoca 2015;hazed;CLG;0.67
DreamHack Open Cluj-Napoca 2015;gob b;mousesports;0.64
DreamHack Open Cluj-Napoca 2015;DavCost;FlipSid3;0.61
DreamHack Open Cluj-Napoca 2015;TENZKI;Dignitas;0.60
DreamHack Open Cluj-Napoca 2015;B1ad3;FlipSid3;0.59
DreamHack Open Cluj-Napoca 2015;MSL;Dignitas;0.41
DreamHack Winter 2013;JW;fnatic;1.26
DreamHack Winter 2013;COLON;Reason;1.25
DreamHack Winter 2013;Snax;UniversalSoldiers;1.22
DreamHack Winter 2013;Hiko;Complexity;1.21
DreamHack Winter 2013;znajder;fnatic;1.20
DreamHack Winter 2013;flusha;fnatic;1.19
DreamHack Winter 2013;Xyp9x;CPH Wolves;1.18
DreamHack Winter 2013;seized;Natus Vincere;1.18
DreamHack Winter 2013;dennis;LGB;1.16
DreamHack Winter 2013;Nico;CPH Wolves;1.14
DreamHack Winter 2013;f0rest;NiP;1.13
DreamHack Winter 2013;SmithZz;VeryGames;1.11
DreamHack Winter 2013;GeT_RiGhT;NiP;1.11
DreamHack Winter 2013;cadiaN;Xapso;1.10
DreamHack Winter 2013;Maniac;Recursive;1.10
DreamHack Winter 2013;n0thing;Complexity;1.10
DreamHack Winter 2013;friberg;NiP;1.10
DreamHack Winter 2013;shox;VeryGames;1.08
DreamHack Winter 2013;Happy;Recursive;1.08
DreamHack Winter 2013;SEMPHIS;Complexity;1.08
DreamHack Winter 2013;AdreN;Astana Dragons;1.07
DreamHack Winter 2013;twist;SK;1.06
DreamHack Winter 2013;EXR;Reason;1.05
DreamHack Winter 2013;dupreeh;CPH Wolves;1.04
DreamHack Winter 2013;olofmeister;LGB;1.04
DreamHack Winter 2013;markeloff;Astana Dragons;1.03
DreamHack Winter 2013;pashaBiceps;UniversalSoldiers;1.03
DreamHack Winter 2013;SKYTTEN;LGB;1.03
DreamHack Winter 2013;Maikelele;LGB;1.02
DreamHack Winter 2013;raalz;n!faculty;1.01
DreamHack Winter 2013;Dosia;Astana Dragons;1.01
DreamHack Winter 2013;apEX;Clan-Mystik;1.01
DreamHack Winter 2013;KQLY;Clan-Mystik;1.01
DreamHack Winter 2013;Xizt;NiP;1.01
DreamHack Winter 2013;NEO;UniversalSoldiers;0.99
DreamHack Winter 2013;FeTiSh;CPH Wolves;0.99
DreamHack Winter 2013;Ex6TenZ;VeryGames;0.97
DreamHack Winter 2013;Fifflaren;NiP;0.96
DreamHack Winter 2013;ANGE1;Astana Dragons;0.96
DreamHack Winter 2013;NBK-;VeryGames;0.93
DreamHack Winter 2013;DaZeD;iBUYPOWER;0.93
DreamHack Winter 2013;kennyS;Recursive;0.93
DreamHack Winter 2013;karrigan;n!faculty;0.92
DreamHack Winter 2013;ScreaM;VeryGames;0.92
DreamHack Winter 2013;swag;Complexity;0.92
DreamHack Winter 2013;KRIMZ;LGB;0.92
DreamHack Winter 2013;aizy;Xapso;0.92
DreamHack Winter 2013;GMX;Recursive;0.91
DreamHack Winter 2013;Devilwalk;fnatic;0.91
DreamHack Winter 2013;pronax;fnatic;0.91
DreamHack Winter 2013;device;CPH Wolves;0.90
DreamHack Winter 2013;Delpan;SK;0.89
DreamHack Winter 2013;smF;Reason;0.87
DreamHack Winter 2013;byali;UniversalSoldiers;0.87
DreamHack Winter 2013;Uzzziii;Recursive;0.86
DreamHack Winter 2013;gla1ve;n!faculty;0.85
DreamHack Winter 2013;Pimp;n!faculty;0.84
DreamHack Winter 2013;MSL;Reason;0.83
DreamHack Winter 2013;LOMME;Reason;0.83
DreamHack Winter 2013;ceh9;Natus Vincere;0.82
DreamHack Winter 2013;cajunb;n!faculty;0.82
DreamHack Winter 2013;anger;iBUYPOWER;0.80
DreamHack Winter 2013;kUcheR;Astana Dragons;0.80
DreamHack Winter 2013;AZK;iBUYPOWER;0.79
DreamHack Winter 2013;centeks;Xapso;0.78
DreamHack Winter 2013;Skadoodle;iBUYPOWER;0.76
DreamHack Winter 2013;seang@res;Complexity;0.76
DreamHack Winter 2013;Zeus;Natus Vincere;0.74
DreamHack Winter 2013;kioShiMa;Clan-Mystik;0.74
DreamHack Winter 2013;TaZ;UniversalSoldiers;0.72
DreamHack Winter 2013;adreN;iBUYPOWER;0.72
DreamHack Winter 2013;ultra;Xapso;0.65
DreamHack Winter 2013;pita;SK;0.62
DreamHack Winter 2013;tonyblack;Natus Vincere;0.60
DreamHack Winter 2013;ioRek;Clan-Mystik;0.60
DreamHack Winter 2013;HaRts;Clan-Mystik;0.59
DreamHack Winter 2013;xelos;SK;0.54
DreamHack Winter 2013;starix;Natus Vincere;0.52
DreamHack Winter 2013;MODDII;SK;0.51
DreamHack Winter 2013;robiin;Xapso;0.40
DreamHack Winter 2014;Snax;Virtus.pro;1.29
DreamHack Winter 2014;flusha;fnatic;1.26
DreamHack Winter 2014;pashaBiceps;Virtus.pro;1.23
DreamHack Winter 2014;olofmeister;fnatic;1.23
DreamHack Winter 2014;JW;fnatic;1.21
DreamHack Winter 2014;Happy;LDLC;1.17
DreamHack Winter 2014;f0rest;NiP;1.15
DreamHack Winter 2014;swag;iBUYPOWER;1.14
DreamHack Winter 2014;TaZ;Virtus.pro;1.14
DreamHack Winter 2014;byali;Virtus.pro;1.14
DreamHack Winter 2014;cajunb;Dignitas;1.13
DreamHack Winter 2014;GeT_RiGhT;NiP;1.12
DreamHack Winter 2014;s1mple;HellRaisers;1.12
DreamHack Winter 2014;Troubley;Planetkey;1.11
DreamHack Winter 2014;Edward;Natus Vincere;1.11
DreamHack Winter 2014;KRIMZ;fnatic;1.10
DreamHack Winter 2014;GuardiaN;Natus Vincere;1.10
DreamHack Winter 2014;SEMPHIS;Cloud9;1.10
DreamHack Winter 2014;Zeus;Natus Vincere;1.09
DreamHack Winter 2014;kioShiMa;LDLC;1.08
DreamHack Winter 2014;NBK-;LDLC;1.07
DreamHack Winter 2014;Skadoodle;iBUYPOWER;1.07
DreamHack Winter 2014;Maikelele;NiP;1.07
DreamHack Winter 2014;Xyp9x;Dignitas;1.05
DreamHack Winter 2014;NEO;Virtus.pro;1.05
DreamHack Winter 2014;dupreeh;Dignitas;1.04
DreamHack Winter 2014;rallen;ESC;1.04
DreamHack Winter 2014;friberg;NiP;1.04
DreamHack Winter 2014;shox;LDLC;1.03
DreamHack Winter 2014;innocent;ESC;1.03
DreamHack Winter 2014;device;Dignitas;1.03
DreamHack Winter 2014;Spiidi;PENTA;1.03
DreamHack Winter 2014;kUcheR;HellRaisers;1.02
DreamHack Winter 2014;berg;FlipSid3;0.98
DreamHack Winter 2014;nitr0;iBUYPOWER;0.98
DreamHack Winter 2014;denis;PENTA;0.97
DreamHack Winter 2014;seized;Natus Vincere;0.96
DreamHack Winter 2014;n0thing;Cloud9;0.95
DreamHack Winter 2014;Xizt;NiP;0.95
DreamHack Winter 2014;Hiko;Cloud9;0.94
DreamHack Winter 2014;twist;FlipSid3;0.93
DreamHack Winter 2014;desi;iBUYPOWER;0.91
DreamHack Winter 2014;starix;Natus Vincere;0.90
DreamHack Winter 2014;BENDJI;FlipSid3;0.90
DreamHack Winter 2014;zende;FlipSid3;0.90
DreamHack Winter 2014;cadiaN;CPH Wolves;0.90
DreamHack Winter 2014;ANGE1;HellRaisers;0.90
DreamHack Winter 2014;pronax;fnatic;0.90
DreamHack Winter 2014;SZPERO;ESC;0.88
DreamHack Winter 2014;FeTiSh;Dignitas;0.87
DreamHack Winter 2014;kRYSTAL;PENTA;0.86
DreamHack Winter 2014;SmithZz;LDLC;0.86
DreamHack Winter 2014;AcilioN;myXMG;0.86
DreamHack Winter 2014;shroud;Cloud9;0.86
DreamHack Winter 2014;mouz;ESC;0.86
DreamHack Winter 2014;seang@res;Cloud9;0.86
DreamHack Winter 2014;MSL;myXMG;0.84
DreamHack Winter 2014;AZK;iBUYPOWER;0.84
DreamHack Winter 2014;fel1x;PENTA;0.81
DreamHack Winter 2014;Kjaerbye;CPH Wolves;0.80
DreamHack Winter 2014;Dosia;HellRaisers;0.79
DreamHack Winter 2014;strux1;Planetkey;0.77
DreamHack Winter 2014;MINISE;ESC;0.74
DreamHack Winter 2014;markeloff;HellRaisers;0.73
DreamHack Winter 2014;Pimp;CPH Wolves;0.71
DreamHack Winter 2014;TENZKI;CPH Wolves;0.68
DreamHack Winter 2014;gla1ve;CPH Wolves;0.67
DreamHack Winter 2014;Friis;myXMG;0.67
DreamHack Winter 2014;blackpoisoN;Bravado;0.66
DreamHack Winter 2014;HUNDEN;myXMG;0.65
DreamHack Winter 2014;dumz;FlipSid3;0.63
DreamHack Winter 2014;stavros;Planetkey;0.61
DreamHack Winter 2014;alexRr;Planetkey;0.61
DreamHack Winter 2014;r0bs3n;PENTA;0.60
DreamHack Winter 2014;nex;Planetkey;0.59
DreamHack Winter 2014;smF;myXMG;0.53
DreamHack Winter 2014;racno;Bravado;0.44
DreamHack Winter 2014;Detrony;Bravado;0.38
DreamHack Winter 2014;cent;Bravado;0.36
DreamHack Winter 2014;deviaNt;Bravado;0.26
ELEAGUE Major 2017;flamie;Natus Vincere;1.36
ELEAGUE Major 2017;AdreN;Gambit;1.34
ELEAGUE Major 2017;EliGE;Liquid;1.30
ELEAGUE Major 2017;device;Astralis;1.29
ELEAGUE Major 2017;Snax;Virtus.pro;1.28
ELEAGUE Major 2017;coldzera;SK;1.28
ELEAGUE Major 2017;Lekr0;GODSENT;1.26
ELEAGUE Major 2017;Magisk;North;1.24
ELEAGUE Major 2017;kennyS;Envy;1.22
ELEAGUE Major 2017;Kjaerbye;Astralis;1.21
ELEAGUE Major 2017;s1mple;Natus Vincere;1.19
ELEAGUE Major 2017;fer;SK;1.18
ELEAGUE Major 2017;NBK-;Envy;1.17
ELEAGUE Major 2017;shox;G2;1.16
ELEAGUE Major 2017;RUSH;OpTic;1.15
ELEAGUE Major 2017;electronic;FlipSid3;1.14
ELEAGUE Major 2017;RpK;G2;1.12
ELEAGUE Major 2017;apEX;Envy;1.10
ELEAGUE Major 2017;fox;SK;1.10
ELEAGUE Major 2017;KRIMZ;fnatic;1.10
ELEAGUE Major 2017;Hobbit;Gambit;1.10
ELEAGUE Major 2017;JW;GODSENT;1.10
ELEAGUE Major 2017;gla1ve;Astralis;1.09
ELEAGUE Major 2017;seized;Natus Vincere;1.09
ELEAGUE Major 2017;flusha;GODSENT;1.09
ELEAGUE Major 2017;pashaBiceps;Virtus.pro;1.09
ELEAGUE Major 2017;allu;FaZe;1.08
ELEAGUE Major 2017;dupreeh;Astralis;1.08
ELEAGUE Major 2017;bodyy;G2;1.07
ELEAGUE Major 2017;markeloff;FlipSid3;1.07
ELEAGUE Major 2017;GuardiaN;Natus Vincere;1.07
ELEAGUE Major 2017;ANGE1;HellRaisers;1.07
ELEAGUE Major 2017;TaZ;Virtus.pro;1.07
ELEAGUE Major 2017;kioShiMa;FaZe;1.06
ELEAGUE Major 2017;twist;fnatic;1.06
ELEAGUE Major 2017;FalleN;SK;1.05
ELEAGUE Major 2017;Edward;Natus Vincere;1.05
ELEAGUE Major 2017;Pimp;Liquid;1.05
ELEAGUE Major 2017;NiKo;mousesports;1.05
ELEAGUE Major 2017;rain;FaZe;1.04
ELEAGUE Major 2017;cajunb;North;1.04
ELEAGUE Major 2017;chrisJ;mousesports;1.03
ELEAGUE Major 2017;Xyp9x;Astralis;1.02
ELEAGUE Major 2017;olofmeister;fnatic;1.02
ELEAGUE Major 2017;aizy;FaZe;1.02
ELEAGUE Major 2017;RUBINO;North;1.01
ELEAGUE Major 2017;mou;Gambit;1.01
ELEAGUE Major 2017;byali;Virtus.pro;1.00
ELEAGUE Major 2017;karrigan;FaZe;1.00
ELEAGUE Major 2017;Zeus;Gambit;0.98
ELEAGUE Major 2017;Dosia;Gambit;0.98
ELEAGUE Major 2017;mixwell;OpTic;0.97
ELEAGUE Major 2017;NAF;OpTic;0.97
ELEAGUE Major 2017;jdm64;Liquid;0.96
ELEAGUE Major 2017;B1ad3;FlipSid3;0.96
ELEAGUE Major 2017;znajder;GODSENT;0.96
ELEAGUE Major 2017;NEO;Virtus.pro;0.94
ELEAGUE Major 2017;WorldEdit;FlipSid3;0.94
ELEAGUE Major 2017;k0nfig;North;0.93
ELEAGUE Major 2017;TACO;SK;0.93
ELEAGUE Major 2017;Hiko;Liquid;0.93
ELEAGUE Major 2017;dennis;fnatic;0.92
ELEAGUE Major 2017;denis;mousesports;0.91
ELEAGUE Major 2017;Happy;Envy;0.90
ELEAGUE Major 2017;Zero;HellRaisers;0.90
ELEAGUE Major 2017;STYKO;HellRaisers;0.89
ELEAGUE Major 2017;loWel;mousesports;0.88
ELEAGUE Major 2017;tarik;OpTic;0.86
ELEAGUE Major 2017;disco doplan;fnatic;0.86
ELEAGUE Major 2017;stanislaw;OpTic;0.86
ELEAGUE Major 2017;SIXER;Envy;0.85
ELEAGUE Major 2017;nitr0;Liquid;0.85
ELEAGUE Major 2017;ScreaM;G2;0.81
ELEAGUE Major 2017;wayLander;FlipSid3;0.78
ELEAGUE Major 2017;MSL;North;0.77
ELEAGUE Major 2017;DeadFox;HellRaisers;0.76
ELEAGUE Major 2017;pronax;GODSENT;0.75
ELEAGUE Major 2017;SmithZz;G2;0.73
ELEAGUE Major 2017;bondik;HellRaisers;0.72
ELEAGUE Major 2017;Spiidi;mousesports;0.56
ELEAGUE Major 2018;flamie;Natus Vincere;1.39
ELEAGUE Major 2018;KRIMZ;fnatic;1.29
ELEAGUE Major 2018;Dosia;Gambit;1.25
ELEAGUE Major 2018;NiKo;FaZe;1.25
ELEAGUE Major 2018;GuardiaN;FaZe;1.24
ELEAGUE Major 2018;oskar;mousesports;1.23
ELEAGUE Major 2018;s1mple;Natus Vincere;1.23
ELEAGUE Major 2018;tarik;Cloud9;1.22
ELEAGUE Major 2018;olofmeister;FaZe;1.20
ELEAGUE Major 2018;autimatic;Cloud9;1.20
ELEAGUE Major 2018;shox;G2;1.19
ELEAGUE Major 2018;suNny;mousesports;1.18
ELEAGUE Major 2018;ropz;mousesports;1.16
ELEAGUE Major 2018;Lekr0;fnatic;1.16
ELEAGUE Major 2018;RUSH;Cloud9;1.15
ELEAGUE Major 2018;NBK-;G2;1.15
ELEAGUE Major 2018;Skadoodle;Cloud9;1.15
ELEAGUE Major 2018;rain;FaZe;1.15
ELEAGUE Major 2018;Stewie2K;Cloud9;1.14
ELEAGUE Major 2018;flusha;fnatic;1.14
ELEAGUE Major 2018;paz;Space Soldiers;1.13
ELEAGUE Major 2018;electronic;Natus Vincere;1.13
ELEAGUE Major 2018;coldzera;SK;1.13
ELEAGUE Major 2018;kennyS;G2;1.13
ELEAGUE Major 2018;EliGE;Liquid;1.12
ELEAGUE Major 2018;Edward;Natus Vincere;1.12
ELEAGUE Major 2018;Twistzz;Liquid;1.12
ELEAGUE Major 2018;bodyy;G2;1.11
ELEAGUE Major 2018;AdreN;Gambit;1.11
ELEAGUE Major 2018;MAJ3R;Space Soldiers;1.09
ELEAGUE Major 2018;Calyx;Space Soldiers;1.09
ELEAGUE Major 2018;XANTARES;Space Soldiers;1.08
ELEAGUE Major 2018;waterfaLLZ;Quantum Bellator Fire;1.07
ELEAGUE Major 2018;tabseN;BIG;1.06
ELEAGUE Major 2018;JW;fnatic;1.05
ELEAGUE Major 2018;dupreeh;Astralis;1.02
ELEAGUE Major 2018;fer;SK;1.02
ELEAGUE Major 2018;nitr0;Liquid;1.02
ELEAGUE Major 2018;FalleN;SK;1.01
ELEAGUE Major 2018;Kvik;Quantum Bellator Fire;1.00
ELEAGUE Major 2018;TACO;SK;0.99
ELEAGUE Major 2018;valde;North;0.99
ELEAGUE Major 2018;jdm64;Liquid;0.98
ELEAGUE Major 2018;aizy;North;0.98
ELEAGUE Major 2018;STYKO;mousesports;0.97
ELEAGUE Major 2018;felps;SK;0.96
ELEAGUE Major 2018;k0nfig;North;0.96
ELEAGUE Major 2018;hutji;Vega Squadron;0.95
ELEAGUE Major 2018;apEX;G2;0.93
ELEAGUE Major 2018;Golden;fnatic;0.93
ELEAGUE Major 2018;Boombl4;Quantum Bellator Fire;0.92
ELEAGUE Major 2018;mou;Gambit;0.91
ELEAGUE Major 2018;device;Astralis;0.91
ELEAGUE Major 2018;chrisJ;mousesports;0.91
ELEAGUE Major 2018;Zeus;Natus Vincere;0.90
ELEAGUE Major 2018;Xyp9x;Astralis;0.90
ELEAGUE Major 2018;Kjaerbye;Astralis;0.89
ELEAGUE Major 2018;karrigan;FaZe;0.88
ELEAGUE Major 2018;jmqa;Quantum Bellator Fire;0.88
ELEAGUE Major 2018;MSL;North;0.88
ELEAGUE Major 2018;Hobbit;Gambit;0.88
ELEAGUE Major 2018;balblna;Quantum Bellator Fire;0.87
ELEAGUE Major 2018;chopper;Vega Squadron;0.87
ELEAGUE Major 2018;LEGIJA;BIG;0.82
ELEAGUE Major 2018;keev;BIG;0.80
