Event;Player;Team;Rating
ESL One Katowice 2015;ANGE1;HellRaisers;0.74
ESL One Katowice 2015;jks;Vox Eminor;0.70
ESL One Katowice 2015;zqkS;Keyd;0.68
ESL One Katowice 2015;Ex6TenZ;Titan;0.64
ESL One Katowice 2015;apEX;Titan;0.64
ESL One Katowice 2015;stonde;3DMAX;0.64
ESL One Katowice 2015;SPUNJ;Vox Eminor;0.64
ESL One Katowice 2015;natu;3DMAX;0.60
ESL One Katowice 2015;WorldEdit;FlipSid3;0.44
ESL One Katowice 2015;markeloff;FlipSid3;0.43
ESL One Katowice 2015;B1ad3;FlipSid3;0.33
FACEIT Major 2018;electronic;Natus Vincere;1.36
FACEIT Major 2018;s1mple;Natus Vincere;1.34
FACEIT Major 2018;device;Astralis;1.26
FACEIT Major 2018;Magisk;Astralis;1.25
FACEIT Major 2018;olofmeister;FaZe;1.25
FACEIT Major 2018;dupreeh;Astralis;1.24
FACEIT Major 2018;smooya;BIG;1.24
FACEIT Major 2018;NAF;Liquid;1.24
FACEIT Major 2018;NiKo;FaZe;1.19
FACEIT Major 2018;Twistzz;Liquid;1.19
FACEIT Major 2018;flamie;Natus Vincere;1.18
FACEIT Major 2018;coldzera;MIBR;1.18
FACEIT Major 2018;EliGE;Liquid;1.17
FACEIT Major 2018;FalleN;MIBR;1.17
FACEIT Major 2018;woxic;HellRaisers;1.16
FACEIT Major 2018;Xyp9x;Astralis;1.16
FACEIT Major 2018;gla1ve;Astralis;1.15
FACEIT Major 2018;stanislaw;Complexity;1.15
FACEIT Major 2018;shox;G2;1.15
FACEIT Major 2018;ISSAA;HellRaisers;1.14
FACEIT Major 2018;KRIMZ;fnatic;1.14
FACEIT Major 2018;suNny;mousesports;1.13
FACEIT Major 2018;autimatic;Cloud9;1.12
FACEIT Major 2018;tabseN;BIG;1.09
FACEIT Major 2018;GeT_RiGhT;NiP;1.09
FACEIT Major 2018;kennyS;G2;1.09
FACEIT Major 2018;f0rest;NiP;1.09
FACEIT Major 2018;fer;MIBR;1.07
FACEIT Major 2018;bondik;HellRaisers;1.07
FACEIT Major 2018;tarik;MIBR;1.07
FACEIT Major 2018;GuardiaN;FaZe;1.07
FACEIT Major 2018;nitr0;Liquid;1.05
FACEIT Major 2018;BnTeT;TYLOO;1.05
FACEIT Major 2018;Edward;Natus Vincere;1.04
FACEIT Major 2018;nex;BIG;1.04
FACEIT Major 2018;ShahZaM;Complexity;1.04
FACEIT Major 2018;tonyblack;Vega Squadron;1.04
FACEIT Major 2018;rain;FaZe;1.04
FACEIT Major 2018;ANDROID;Complexity;1.03
FACEIT Major 2018;Skadoodle;Cloud9;1.02
FACEIT Major 2018;yay;Complexity;1.01
FACEIT Major 2018;Kvik;Winstrike;1.00
FACEIT Major 2018;dephh;Complexity;0.98
FACEIT Major 2018;jR;Vega Squadron;0.98
FACEIT Major 2018;STYKO;Cloud9;0.98
FACEIT Major 2018;DD;TYLOO;0.97
FACEIT Major 2018;Stewie2K;MIBR;0.97
FACEIT Major 2018;xccurate;TYLOO;0.96
FACEIT Major 2018;draken;fnatic;0.96
FACEIT Major 2018;JW;fnatic;0.96
FACEIT Major 2018;Zeus;Natus Vincere;0.95
FACEIT Major 2018;Golden;Cloud9;0.95
FACEIT Major 2018;jmqa;Winstrike;0.94
FACEIT Major 2018;RUSH;Cloud9;0.94
FACEIT Major 2018;chrisJ;mousesports;0.93
FACEIT Major 2018;karrigan;FaZe;0.93
FACEIT Major 2018;tiziaN;BIG;0.93
FACEIT Major 2018;bodyy;G2;0.93
FACEIT Major 2018;gob b;BIG;0.92
FACEIT Major 2018;Boombl4;Winstrike;0.91
FACEIT Major 2018;DeadFox;HellRaisers;0.89
FACEIT Major 2018;REZ;NiP;0.89
FACEIT Major 2018;chopper;Vega Squadron;0.88
FACEIT Major 2018;dennis;NiP;0.87
FACEIT Major 2018;oskar;mousesports;0.87
FACEIT Major 2018;ANGE1;HellRaisers;0.87
FACEIT Major 2018;Xizt;fnatic;0.86
FACEIT Major 2018;Lekr0;NiP;0.85
FACEIT Major 2018;crush;Vega Squadron;0.85
FACEIT Major 2018;TACO;Liquid;0.84
FACEIT Major 2018;ropz;mousesports;0.84
FACEIT Major 2018;SmithZz;G2;0.83
FACEIT Major 2018;flusha;fnatic;0.82
FACEIT Major 2018;balblna;Winstrike;0.82
FACEIT Major 2018;waterfaLLZ;Winstrike;0.81
FACEIT Major 2018;hutji;Vega Squadron;0.81
FACEIT Major 2018;Ex6TenZ;G2;0.78
FACEIT Major 2018;Snax;mousesports;0.69
FACEIT Major 2018;somebody;TYLOO;0.67
FACEIT Major 2018;captainMo;TYLOO;0.65
IEM Katowice 2019;device;Astralis;1.32
IEM Katowice 2019;s1mple;Natus Vincere;1.29
IEM Katowice 2019;Xyp9x;Astralis;1.29
IEM Katowice 2019;Magisk;Astralis;1.28
IEM Katowice 2019;coldzera;MIBR;1.26
IEM Katowice 2019;dupreeh;Astralis;1.24
IEM Katowice 2019;stanislaw;Complexity;1.20
IEM Katowice 2019;fer;MIBR;1.20
IEM Katowice 2019;flamie;Natus Vincere;1.20
IEM Katowice 2019;Brehze;NRG;1.19
IEM Katowice 2019;flusha;Cloud9;1.19
IEM Katowice 2019;autimatic;Cloud9;1.19
IEM Katowice 2019;nex;BIG;1.17
IEM Katowice 2019;NiKo;FaZe;1.15
IEM Katowice 2019;REZ;NiP;1.14
IEM Katowice 2019;apEX;Vitality;1.14
IEM Katowice 2019;ZywOo;Vitality;1.14
IEM Katowice 2019;Jame;AVANGAR;1.13
IEM Katowice 2019;electronic;Natus Vincere;1.13
IEM Katowice 2019;Twistzz;Liquid;1.13
IEM Katowice 2019;jks;Renegades;1.11
IEM Katowice 2019;woxic;HellRaisers;1.09
IEM Katowice 2019;nitr0;Liquid;1.08
IEM Katowice 2019;EliGE;Liquid;1.07
IEM Katowice 2019;xseveN;ENCE;1.06
IEM Katowice 2019;Ethan;NRG;1.06
IEM Katowice 2019;Lekr0;NiP;1.06
IEM Katowice 2019;Edward;Natus Vincere;1.06
IEM Katowice 2019;gla1ve;Astralis;1.05
IEM Katowice 2019;jkaem;Renegades;1.05
IEM Katowice 2019;rain;FaZe;1.05
IEM Katowice 2019;f0rest;NiP;1.05
IEM Katowice 2019;kioShiMa;Cloud9;1.04
IEM Katowice 2019;Stewie2K;Liquid;1.04
IEM Katowice 2019;GuardiaN;FaZe;1.03
IEM Katowice 2019;qikert;AVANGAR;1.03
IEM Katowice 2019;AdreN;FaZe;1.02
IEM Katowice 2019;allu;ENCE;1.01
IEM Katowice 2019;tabseN;BIG;1.01
IEM Katowice 2019;Aerial;ENCE;1.01
IEM Katowice 2019;sergej;ENCE;1.01
IEM Katowice 2019;ShahZaM;Complexity;1.01
IEM Katowice 2019;FalleN;MIBR;1.01
IEM Katowice 2019;NAF;Liquid;1.00
IEM Katowice 2019;ISSAA;HellRaisers;1.00
IEM Katowice 2019;XANTARES;BIG;1.00
IEM Katowice 2019;RUSH;Cloud9;0.98
IEM Katowice 2019;Aleksib;ENCE;0.98
IEM Katowice 2019;kennyS;G2;0.97
IEM Katowice 2019;felps;MIBR;0.96
IEM Katowice 2019;FugLy;NRG;0.96
IEM Katowice 2019;tiziaN;BIG;0.96
IEM Katowice 2019;TACO;MIBR;0.95
IEM Katowice 2019;buster;AVANGAR;0.95
IEM Katowice 2019;Lucky;G2;0.95
IEM Katowice 2019;Rickeh;Complexity;0.94
IEM Katowice 2019;Gratisfaction;Renegades;0.94
IEM Katowice 2019;Zeus;Natus Vincere;0.94
IEM Katowice 2019;n0thing;Complexity;0.94
IEM Katowice 2019;JaCkz;G2;0.93
IEM Katowice 2019;dephh;Complexity;0.92
IEM Katowice 2019;RpK;Vitality;0.92
IEM Katowice 2019;CeRq;NRG;0.91
IEM Katowice 2019;olofmeister;FaZe;0.91
IEM Katowice 2019;gob b;BIG;0.91
IEM Katowice 2019;GeT_RiGhT;NiP;0.91
IEM Katowice 2019;AZR;Renegades;0.91
IEM Katowice 2019;bodyy;G2;0.90
IEM Katowice 2019;NBK-;Vitality;0.88
IEM Katowice 2019;dennis;NiP;0.88
IEM Katowice 2019;Liazz;Renegades;0.87
IEM Katowice 2019;ALEX;Vitality;0.86
IEM Katowice 2019;Zellsis;Cloud9;0.86
IEM Katowice 2019;shox;G2;0.85
IEM Katowice 2019;KrizzeN;AVANGAR;0.85
IEM Katowice 2019;daps;NRG;0.85
IEM Katowice 2019;fitch;AVANGAR;0.81
IEM Katowice 2019;Hobbit;HellRaisers;0.80
IEM Katowice 2019;DeadFox;HellRaisers;0.71
IEM Katowice 2019;ANGE1;HellRaisers;0.63
MLG Columbus 2016;coldzera;Luminosity;1.32
MLG Columbus 2016;NiKo;mousesports;1.30
MLG Columbus 2016;Edward;Natus Vincere;1.28
MLG Columbus 2016;flamie;Natus Vincere;1.25
MLG Columbus 2016;s1mple;Liquid;1.24
MLG Columbus 2016;device;Astralis;1.22
MLG Columbus 2016;Shara;FlipSid3;1.21
MLG Columbus 2016;dupreeh;Astralis;1.20
MLG Columbus 2016;rain;FaZe;1.19
MLG Columbus 2016;bondik;FlipSid3;1.19
MLG Columbus 2016;fnx;Luminosity;1.18
MLG Columbus 2016;FalleN;Luminosity;1.18
MLG Columbus 2016;flusha;fnatic;1.18
MLG Columbus 2016;markeloff;FlipSid3;1.17
MLG Columbus 2016;jdm64;CLG;1.14
MLG Columbus 2016;byali;Virtus.pro;1.14
MLG Columbus 2016;tarik;CLG;1.14
MLG Columbus 2016;cajunb;Astralis;1.14
MLG Columbus 2016;fer;Luminosity;1.14
MLG Columbus 2016;Snax;Virtus.pro;1.14
MLG Columbus 2016;adreN;Liquid;1.14
MLG Columbus 2016;GeT_RiGhT;NiP;1.13
MLG Columbus 2016;JW;fnatic;1.13
MLG Columbus 2016;seized;Natus Vincere;1.13
MLG Columbus 2016;apEX;Envy;1.13
MLG Columbus 2016;Happy;Envy;1.09
MLG Columbus 2016;f0rest;NiP;1.09
MLG Columbus 2016;dennis;fnatic;1.07
MLG Columbus 2016;NEO;Virtus.pro;1.07
MLG Columbus 2016;Xyp9x;Astralis;1.07
MLG Columbus 2016;Hiko;Liquid;1.07
MLG Columbus 2016;TACO;Luminosity;1.06
MLG Columbus 2016;hazed;CLG;1.06
MLG Columbus 2016;KRIMZ;fnatic;1.06
MLG Columbus 2016;aizy;FaZe;1.06
MLG Columbus 2016;AdreN;Gambit;1.04
MLG Columbus 2016;Dosia;Gambit;1.03
MLG Columbus 2016;ScreaM;G2;1.02
MLG Columbus 2016;EliGE;Liquid;1.02
MLG Columbus 2016;chrisJ;mousesports;1.02
MLG Columbus 2016;WorldEdit;FlipSid3;1.02
MLG Columbus 2016;Spiidi;mousesports;1.01
MLG Columbus 2016;TaZ;Virtus.pro;1.01
MLG Columbus 2016;fox;FaZe;1.00
MLG Columbus 2016;shox;G2;0.99
MLG Columbus 2016;wayLander;Gambit;0.99
MLG Columbus 2016;NBK-;Envy;0.99
MLG Columbus 2016;hooch;Gambit;0.98
MLG Columbus 2016;RpK;G2;0.98
MLG Columbus 2016;olofmeister;fnatic;0.98
MLG Columbus 2016;pashaBiceps;Virtus.pro;0.98
MLG Columbus 2016;Zeus;Natus Vincere;0.97
MLG Columbus 2016;nitr0;Liquid;0.97
MLG Columbus 2016;denis;mousesports;0.97
MLG Columbus 2016;Ex6TenZ;G2;0.95
MLG Columbus 2016;Xizt;NiP;0.95
MLG Columbus 2016;GuardiaN;Natus Vincere;0.94
MLG Columbus 2016;reltuC;CLG;0.94
MLG Columbus 2016;DAVEY;Splyce;0.93
MLG Columbus 2016;DEVIL;Envy;0.93
MLG Columbus 2016;mou;Gambit;0.93
MLG Columbus 2016;B1ad3;FlipSid3;0.90
MLG Columbus 2016;Skadoodle;Cloud9;0.90
MLG Columbus 2016;friberg;NiP;0.90
MLG Columbus 2016;SmithZz;G2;0.90
MLG Columbus 2016;karrigan;Astralis;0.88
MLG Columbus 2016;Maikelele;FaZe;0.82
MLG Columbus 2016;jkaem;FaZe;0.80
MLG Columbus 2016;shroud;Cloud9;0.80
MLG Columbus 2016;THREAT;NiP;0.80
MLG Columbus 2016;nex;mousesports;0.80
MLG Columbus 2016;arya;Splyce;0.74
MLG Columbus 2016;FugLy;CLG;0.74
MLG Columbus 2016;kennyS;Envy;0.72
MLG Columbus 2016;Stewie2K;Cloud9;0.69
MLG Columbus 2016;n0thing;Cloud9;0.68
MLG Columbus 2016;Professor_Chaos;Splyce;0.56
MLG Columbus 2016;freakazoid;Cloud9;0.55
MLG Columbus 2016;jasonR;Splyce;0.44
MLG Columbus 2016;abE;Splyce;0.39
PGL Major Krakow 2017;s1mple;Natus Vincere;1.43
PGL Major Krakow 2017;coldzera;SK;1.40
PGL Major Krakow 2017;tabseN;BIG;1.30
PGL Major Krakow 2017;AdreN;Gambit;1.26
PGL Major Krakow 2017;suNny;PENTA;1.21
PGL Major Krakow 2017;dupreeh;Astralis;1.20
PGL Major Krakow 2017;nex;BIG;1.19
PGL Major Krakow 2017;k0nfig;North;1.17
PGL Major Krakow 2017;device;Astralis;1.17
PGL Major Krakow 2017;electronic;FlipSid3;1.15
PGL Major Krakow 2017;fer;SK;1.15
PGL Major Krakow 2017;cajunb;North;1.15
PGL Major Krakow 2017;mou;Gambit;1.14
PGL Major Krakow 2017;rain;FaZe;1.13
PGL Major Krakow 2017;Hobbit;Gambit;1.13
PGL Major Krakow 2017;kNgV-;Immortals;1.12
PGL Major Krakow 2017;HEN1;Immortals;1.12
PGL Major Krakow 2017;autimatic;Cloud9;1.12
PGL Major Krakow 2017;NiKo;FaZe;1.12
PGL Major Krakow 2017;byali;Virtus.pro;1.12
PGL Major Krakow 2017;Stewie2K;Cloud9;1.12
PGL Major Krakow 2017;pashaBiceps;Virtus.pro;1.11
PGL Major Krakow 2017;Skadoodle;Cloud9;1.11
PGL Major Krakow 2017;LUCAS1;Immortals;1.11
PGL Major Krakow 2017;zehN;PENTA;1.10
PGL Major Krakow 2017;denis;mousesports;1.10
PGL Major Krakow 2017;wayLander;FlipSid3;1.10
PGL Major Krakow 2017;NEO;Virtus.pro;1.08
PGL Major Krakow 2017;boltz;Immortals;1.08
PGL Major Krakow 2017;steel;Immortals;1.08
PGL Major Krakow 2017;JW;fnatic;1.07
PGL Major Krakow 2017;flamie;Natus Vincere;1.07
PGL Major Krakow 2017;Kjaerbye;Astralis;1.06
PGL Major Krakow 2017;oskar;mousesports;1.06
PGL Major Krakow 2017;Snax;Virtus.pro;1.06
PGL Major Krakow 2017;TaZ;Virtus.pro;1.05
PGL Major Krakow 2017;felps;SK;1.04
PGL Major Krakow 2017;Zeus;Gambit;1.03
PGL Major Krakow 2017;GuardiaN;Natus Vincere;1.03
PGL Major Krakow 2017;gla1ve;Astralis;1.03
PGL Major Krakow 2017;Xyp9x;Astralis;1.03
PGL Major Krakow 2017;olofmeister;fnatic;1.02
PGL Major Krakow 2017;LEGIJA;BIG;1.02
PGL Major Krakow 2017;aizy;North;1.02
PGL Major Krakow 2017;HS;PENTA;1.02
PGL Major Krakow 2017;FalleN;SK;1.01
PGL Major Krakow 2017;ropz;mousesports;1.01
PGL Major Krakow 2017;Dosia;Gambit;1.00
PGL Major Krakow 2017;keev;BIG;1.00
PGL Major Krakow 2017;kRYSTAL;PENTA;0.99
PGL Major Krakow 2017;markeloff;FlipSid3;0.98
PGL Major Krakow 2017;loWel;mousesports;0.98
PGL Major Krakow 2017;Magisk;North;0.98
PGL Major Krakow 2017;flusha;fnatic;0.98
PGL Major Krakow 2017;mir;Vega Squadron;0.98
PGL Major Krakow 2017;n0thing;Cloud9;0.97
PGL Major Krakow 2017;Edward;Natus Vincere;0.97
PGL Major Krakow 2017;kennyS;G2;0.95
PGL Major Krakow 2017;allu;FaZe;0.95
PGL Major Krakow 2017;KRIMZ;fnatic;0.95
PGL Major Krakow 2017;shox;G2;0.94
PGL Major Krakow 2017;dennis;fnatic;0.94
PGL Major Krakow 2017;NBK-;G2;0.94
PGL Major Krakow 2017;chrisJ;mousesports;0.93
PGL Major Krakow 2017;WorldEdit;FlipSid3;0.93
PGL Major Krakow 2017;gob b;BIG;0.91
PGL Major Krakow 2017;apEX;G2;0.90
PGL Major Krakow 2017;bodyy;G2;0.84
PGL Major Krakow 2017;innocent;PENTA;0.84
PGL Major Krakow 2017;TACO;SK;0.83
PGL Major Krakow 2017;seized;Natus Vincere;0.81
PGL Major Krakow 2017;shroud;Cloud9;0.80
PGL Major Krakow 2017;keshandr;Vega Squadron;0.80
PGL Major Krakow 2017;MSL;North;0.75
PGL Major Krakow 2017;jR;Vega Squadron;0.68
PGL Major Krakow 2017;chopper;Vega Squadron;0.68
PGL Major Krakow 2017;B1ad3;FlipSid3;0.67
PGL Major Krakow 2017;karrigan;FaZe;0.62
PGL Major Krakow 2017;kioShiMa;FaZe;0.61
PGL Major Krakow 2017;hutji;Vega Squadron;0.58
StarLadder Major Berlin 2019;electronic;Natus Vincere;1.31
StarLadder Major Berlin 2019;allu;ENCE;1.27
StarLadder Major Berlin 2019;Kjaerbye;North;1.27
StarLadder Major Berlin 2019;device;Astralis;1.26
StarLadder Major Berlin 2019;sergej;ENCE;1.24
StarLadder Major Berlin 2019;EliGE;Liquid;1.23
StarLadder Major Berlin 2019;Brehze;NRG;1.23
StarLadder Major Berlin 2019;ZywOo;Vitality;1.22
StarLadder Major Berlin 2019;s1mple;Natus Vincere;1.19
StarLadder Major Berlin 2019;Magisk;Astralis;1.15
StarLadder Major Berlin 2019;olofmeister;FaZe;1.15
StarLadder Major Berlin 2019;Jame;AVANGAR;1.14
StarLadder Major Berlin 2019;jkaem;Renegades;1.14
StarLadder Major Berlin 2019;Xyp9x;Astralis;1.14
StarLadder Major Berlin 2019;jks;Renegades;1.13
StarLadder Major Berlin 2019;ottoNd;CR4ZY;1.13
StarLadder Major Berlin 2019;CeRq;NRG;1.13
StarLadder Major Berlin 2019;buster;AVANGAR;1.11
StarLadder Major Berlin 2019;flamie;Natus Vincere;1.11
StarLadder Major Berlin 2019;dupreeh;Astralis;1.10
StarLadder Major Berlin 2019;Liazz;Renegades;1.10
StarLadder Major Berlin 2019;Aleksib;ENCE;1.10
StarLadder Major Berlin 2019;apEX;Vitality;1.09
StarLadder Major Berlin 2019;Twistzz;Liquid;1.09
StarLadder Major Berlin 2019;NAF;Liquid;1.09
StarLadder Major Berlin 2019;tarik;NRG;1.08
StarLadder Major Berlin 2019;AmaNEk;G2;1.07
StarLadder Major Berlin 2019;Boombl4;Natus Vincere;1.07
StarLadder Major Berlin 2019;rain;FaZe;1.07
StarLadder Major Berlin 2019;gade;North;1.07
StarLadder Major Berlin 2019;stanislaw;NRG;1.06
StarLadder Major Berlin 2019;ALEX;Vitality;1.05
StarLadder Major Berlin 2019;valde;North;1.05
StarLadder Major Berlin 2019;woxic;mousesports;1.05
StarLadder Major Berlin 2019;qikert;AVANGAR;1.05
StarLadder Major Berlin 2019;aizy;North;1.04
StarLadder Major Berlin 2019;EspiranTo;CR4ZY;1.02
StarLadder Major Berlin 2019;huNter-;CR4ZY;1.02
StarLadder Major Berlin 2019;nexa;CR4ZY;1.02
StarLadder Major Berlin 2019;chrisJ;mousesports;1.01
StarLadder Major Berlin 2019;Gratisfaction;Renegades;1.00
StarLadder Major Berlin 2019;RpK;Vitality;1.00
StarLadder Major Berlin 2019;NiKo;FaZe;1.00
StarLadder Major Berlin 2019;SANJI;AVANGAR;1.00
StarLadder Major Berlin 2019;Aerial;ENCE;0.99
StarLadder Major Berlin 2019;kennyS;G2;0.99
StarLadder Major Berlin 2019;ropz;mousesports;0.98
StarLadder Major Berlin 2019;AZR;Renegades;0.98
StarLadder Major Berlin 2019;shox;G2;0.98
StarLadder Major Berlin 2019;xseveN;ENCE;0.97
StarLadder Major Berlin 2019;Zeus;Natus Vincere;0.97
StarLadder Major Berlin 2019;JaCkz;G2;0.97
StarLadder Major Berlin 2019;JUGi;North;0.97
StarLadder Major Berlin 2019;Lucky;G2;0.97
StarLadder Major Berlin 2019;Ethan;NRG;0.96
StarLadder Major Berlin 2019;frozen;mousesports;0.96
StarLadder Major Berlin 2019;gla1ve;Astralis;0.95
StarLadder Major Berlin 2019;Lekr0;NiP;0.94
StarLadder Major Berlin 2019;Stewie2K;Liquid;0.92
StarLadder Major Berlin 2019;NEO;FaZe;0.92
StarLadder Major Berlin 2019;REZ;NiP;0.90
StarLadder Major Berlin 2019;nitr0;Liquid;0.90
StarLadder Major Berlin 2019;AdreN;AVANGAR;0.90
StarLadder Major Berlin 2019;GuardiaN;FaZe;0.88
StarLadder Major Berlin 2019;LUCAS1;MIBR;0.88
StarLadder Major Berlin 2019;TACO;MIBR;0.88
StarLadder Major Berlin 2019;karrigan;mousesports;0.87
StarLadder Major Berlin 2019;FalleN;MIBR;0.86
StarLadder Major Berlin 2019;NBK-;Vitality;0.84
StarLadder Major Berlin 2019;fer;MIBR;0.81
StarLadder Major Berlin 2019;svyat;DreamEaters;0.81
StarLadder Major Berlin 2019;LETN1;CR4ZY;0.78
StarLadder Major Berlin 2019;Krad;DreamEaters;0.75
StarLadder Major Berlin 2019;speed4k;DreamEaters;0.74
StarLadder Major Berlin 2019;GeT_RiGhT;NiP;0.74
StarLadder Major Berlin 2019;kinqie;DreamEaters;0.73
StarLadder Major Berlin 2019;Forester;DreamEaters;0.73
StarLadder Major Berlin 2019;Golden;NiP;0.73
StarLadder Major Berlin 2019;zews;MIBR;0.59
StarLadder Major Berlin 2019;f0rest;NiP;0.54
