Event;Date;Team;Winnings
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;fnatic     ;100000
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;NiP        ;50000
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;VeryGames  ;22000
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;Complexity ;22000
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;LGB        ;10000
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;Recursive  ;10000
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;Reason     ;2000
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;SK         ;2000
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;Xapso      ;2000
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;iBUYPOWER  ;2000
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;Dignitas   ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;LDLC       ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;HellRaisers;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;3DMAX      ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;Titan      ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;mousesports;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;Cloud9     ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;Epsilon    ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;Wolves     ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;dAT        ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;PENTA      ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;ESC        ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;FlipSid3   ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;Bravado    ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;myXMG      ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;Planetkey  ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;Envy       ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;Keyd       ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;TSM        ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;CLG        ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;Luminosity ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;Kinguin    ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;Renegades  ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;Immunity   ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;eBettle    ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;G2         ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;Liquid     ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;Vexed      ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;Astralis   ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;Gambit     ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;FaZe       ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;Splyce     ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;OpTic      ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;North      ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;GODSENT    ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;Immortals  ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;BIG        ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;MIBR       ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;TYLOO      ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;Winstrike  ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;ENCE       ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;AVANGAR    ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;Vitality   ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;NRG        ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;CR4ZY      ;
DreamHack Winter 2013;2013-11-30T11:00:00.000Z;DreamEaters;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;fnatic     ;110000
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;NiP        ;100000
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;VeryGames  ;22000
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;Complexity ;32000
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;LGB        ;32000
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;Recursive  ;10000
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;Reason     ;4000
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;SK         ;2000
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;Xapso      ;2000
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;iBUYPOWER  ;4000
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;Dignitas   ;22000
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;LDLC       ;10000
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;HellRaisers;10000
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;3DMAX      ;2000
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;Titan      ;2000
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;mousesports;2000
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;Cloud9     ;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;Epsilon    ;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;Wolves     ;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;dAT        ;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;PENTA      ;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;ESC        ;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;FlipSid3   ;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;Bravado    ;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;myXMG      ;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;Planetkey  ;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;Envy       ;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;Keyd       ;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;TSM        ;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;CLG        ;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;Luminosity ;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;Kinguin    ;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;Renegades  ;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;Immunity   ;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;eBettle    ;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;G2         ;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;Liquid     ;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;Vexed      ;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;Astralis   ;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;Gambit     ;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;FaZe       ;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;Splyce     ;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;OpTic      ;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;North      ;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;GODSENT    ;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;Immortals  ;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;BIG        ;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;MIBR       ;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;TYLOO      ;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;Winstrike  ;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;ENCE       ;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;AVANGAR    ;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;Vitality   ;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;NRG        ;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;CR4ZY      ;
EMS One Katowice 2014;2014-03-16T11:00:00.000Z;DreamEaters;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;fnatic     ;160000
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;NiP        ;200000
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;VeryGames  ;22000
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;Complexity ;32000
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;LGB        ;32000
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;Recursive  ;10000
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;Reason     ;4000
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;SK         ;2000
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;Xapso      ;2000
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;iBUYPOWER  ;6000
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;Dignitas   ;44000
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;LDLC       ;32000
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;HellRaisers;12000
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;3DMAX      ;2000
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;Titan      ;4000
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;mousesports;2000
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;Cloud9     ;10000
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;Epsilon    ;10000
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;Wolves     ;2000
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;dAT        ;2000
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;PENTA      ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;ESC        ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;FlipSid3   ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;Bravado    ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;myXMG      ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;Planetkey  ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;Envy       ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;Keyd       ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;TSM        ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;CLG        ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;Luminosity ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;Kinguin    ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;Renegades  ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;Immunity   ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;eBettle    ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;G2         ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;Liquid     ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;Vexed      ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;Astralis   ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;Gambit     ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;FaZe       ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;Splyce     ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;OpTic      ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;North      ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;GODSENT    ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;Immortals  ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;BIG        ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;MIBR       ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;TYLOO      ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;Winstrike  ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;ENCE       ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;AVANGAR    ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;Vitality   ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;NRG        ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;CR4ZY      ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;DreamEaters;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;fnatic     ;170000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;NiP        ;250000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;VeryGames  ;22000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Complexity ;32000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;LGB        ;32000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Recursive  ;10000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Reason     ;4000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;SK         ;2000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Xapso      ;2000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;iBUYPOWER  ;8000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Dignitas   ;54000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;LDLC       ;132000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;HellRaisers;22000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;3DMAX      ;2000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Titan      ;4000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;mousesports;2000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Cloud9     ;12000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Epsilon    ;10000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Wolves     ;2000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;dAT        ;2000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;PENTA      ;10000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;ESC        ;2000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;FlipSid3   ;2000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Bravado    ;2000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;myXMG      ;2000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Planetkey  ;2000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Envy       ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Keyd       ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;TSM        ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;CLG        ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Luminosity ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Kinguin    ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Renegades  ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Immunity   ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;eBettle    ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;G2         ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Liquid     ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Vexed      ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Astralis   ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Gambit     ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;FaZe       ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Splyce     ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;OpTic      ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;North      ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;GODSENT    ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Immortals  ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;BIG        ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;MIBR       ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;TYLOO      ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Winstrike  ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;ENCE       ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;AVANGAR    ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Vitality   ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;NRG        ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;CR4ZY      ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;DreamEaters;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;fnatic     ;270000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;NiP        ;300000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;VeryGames  ;22000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Complexity ;32000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;LGB        ;34000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Recursive  ;10000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Reason     ;4000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;SK         ;2000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Xapso      ;2000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;iBUYPOWER  ;8000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Dignitas   ;54000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;LDLC       ;132000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;HellRaisers;24000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;3DMAX      ;4000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Titan      ;6000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;mousesports;2000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Cloud9     ;14000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Epsilon    ;10000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Wolves     ;2000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;dAT        ;2000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;PENTA      ;20000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;ESC        ;2000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;FlipSid3   ;4000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Bravado    ;2000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;myXMG      ;2000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Planetkey  ;2000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Envy       ;22000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Keyd       ;10000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;TSM        ;10000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;CLG        ;2000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Luminosity ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Kinguin    ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Renegades  ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Immunity   ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;eBettle    ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;G2         ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Liquid     ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Vexed      ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Astralis   ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Gambit     ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;FaZe       ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Splyce     ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;OpTic      ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;North      ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;GODSENT    ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Immortals  ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;BIG        ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;MIBR       ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;TYLOO      ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Winstrike  ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;ENCE       ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;AVANGAR    ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Vitality   ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;NRG        ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;CR4ZY      ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;DreamEaters;
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;fnatic     ;370000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;NiP        ;310000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;VeryGames  ;22000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;Complexity ;32000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;LGB        ;34000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;Recursive  ;10000
